,question,option_a,option_b,option_c,option_d,correct_answer,CorrectAnswerText,explanation
12,You want to fully replace data and schema. What is best?,append,overwrite,overwrite with overwriteSchema=true,mergeSchema,C,overwrite with overwriteSchema=true,"overwriteSchema replaces the schema during overwrite, useful when schema changed and you want a full refresh."
13,What is a common use case of VACUUM?,Optimize performance by indexing,Remove old data files after deletions/updates,Create tables,Remove schema columns,B,Remove old data files after deletions/updates,DELETE/UPDATE/MERGE leave old files for time travel; VACUUM cleans them up after retention.
14,A Delta table is external when:,It’s stored in DBFS root only,It’s stored outside metastore managed location,It uses streaming only,It’s created from CSV only,B,It’s stored outside metastore managed location,External tables point to a user-managed location rather than a metastore-managed storage path.
15,Which statement about constraints is true?,Delta supports CHECK constraints,Delta constraints are only for SQL Server,Constraints are stored in cluster memory,Constraints require VACUUM to apply,A,Delta supports CHECK constraints,Delta supports constraints such as CHECK (and NOT NULL) to enforce data quality rules.
16,What is the purpose of Delta transaction log?,Stores Spark jobs,Stores metadata enabling ACID and versioning,Stores cluster configuration,Stores only schema,B,Stores metadata enabling ACID and versioning,"The log records commits and metadata changes enabling ACID, concurrency control, and time travel."
17,What does AUTO OPTIMIZE do?,Runs OPTIMIZE continuously without cost,Helps reduce small files during write operations,Deletes history automatically,Converts Parquet to Delta,B,Helps reduce small files during write operations,Auto Optimize settings can compact small files as part of writes to reduce file fragmentation.
18,Which statement about DELETE is true?,Delta DELETE rewrites only impacted files,Delta DELETE deletes entire table always,DELETE not supported,DELETE requires streaming checkpoint,A,Delta DELETE rewrites only impacted files,Delta operates at file level; DELETE rewrites only files containing affected rows.
19,What is partitioning good for?,Makes ZORDER unnecessary always,Helps prune data scans when filtering on partition column,Makes merges faster for all columns,Removes need for OPTIMIZE,B,Helps prune data scans when filtering on partition column,Partitioning allows partition pruning so fewer files/partitions are read when filters match partition columns.
20,Which column should be a good partition candidate?,Very high-cardinality column like user_id,Low-cardinality date column like event_date,Random UUID,A complex struct column,B,Low-cardinality date column like event_date,Low/moderate-cardinality columns used in filters (often dates) are good partition keys; high-cardinality leads to too many partitions.
21,Which returns a DataFrame in PySpark?,"spark.sql(""SELECT * FROM t"")",%sql SELECT * FROM t,"display(""SELECT * FROM t"")","dbutils.sql(""SELECT *"")",A,"spark.sql(""SELECT * FROM t"")",spark.sql returns a DataFrame; %sql is a notebook magic producing a result set display.
22,What does .cache() do?,Writes to Delta,Stores the DataFrame in memory (and disk if needed),Deletes partitions,Reduces shuffle always,B,Stores the DataFrame in memory (and disk if needed),Caching persists computed results to speed up repeated actions on the same DataFrame.
23,Which is a wide transformation?,map,filter,groupBy,select,C,groupBy,groupBy triggers a shuffle because rows with the same key must be brought together.
24,"In Spark, wide transformations usually cause:",No shuffle,Shuffle between partitions,Cache invalidation,Data loss,B,Shuffle between partitions,Wide transformations typically require shuffling data across the network.
25,Which join type returns only matching rows in both sides?,left join,right join,inner join,anti join,C,inner join,Inner join keeps only rows where the join condition matches on both sides.
26,Which join returns rows from left that do NOT match right?,semi join,anti join,cross join,outer join,B,anti join,Left anti join returns rows from the left that have no match in the right.
27,Broadcast join is best when:,both tables huge,one table small enough to broadcast,table is streaming,tables are partitioned,B,one table small enough to broadcast,"Broadcasting the small table avoids shuffling the larger table, often faster for small dimension tables."
28,Which function is used to remove duplicates?,distinct,drop,dedupe,removeDuplicates,A,distinct,distinct removes duplicate rows (or use dropDuplicates for subset of columns).
29,Which is correct for selecting columns?,"df.pick(""a"")","df.select(""a"",""b"")","df.columns(""a"")","df.col(""a"")",B,"df.select(""a"",""b"")",select chooses a subset of columns (and can apply expressions).
30,Spark SQL window function is best for:,Filtering only,"Row-level calculations (rank, lag, lead) without collapsing rows",Overwriting tables,Streaming ingestion,B,"Row-level calculations (rank, lag, lead) without collapsing rows",Window functions compute over a window partition/order while keeping the original row granularity.
31,Which is correct to create a new column?,"df.newcol(""x"", expr)","df.withColumn(""x"", expr)","df.selectColumn(""x"")","df.add(""x"")",B,"df.withColumn(""x"", expr)",withColumn adds or replaces a column using an expression.
32,"If you do df.repartition(200), what happens?",Changes schema,Forces shuffle and creates 200 partitions,Improves all performance always,Removes duplicates,B,Forces shuffle and creates 200 partitions,repartition performs a full shuffle to redistribute data into the specified number of partitions.
33,coalesce(1) will:,Increase partitions,Reduce partitions without full shuffle,Force broadcast join,Add index,B,Reduce partitions without full shuffle,"coalesce reduces partitions by collapsing existing ones (usually no full shuffle), often used carefully."
34,The output of .explain() is:,Spark execution plan,Delta log contents,Unity Catalog permissions,Notebook results,A,Spark execution plan,explain shows logical/physical plans (and adaptive plan) used by Spark.
35,Which is correct about Spark lazy evaluation?,Transformations execute immediately,Actions trigger execution,.select() triggers job,.withColumn() triggers job,B,Actions trigger execution,Transformations build a plan; actions like count/write trigger execution.
36,Which is an action?,select,filter,count,withColumn,C,count,count is an action that triggers a Spark job to compute a result.
37,What is the effect of CREATE OR REPLACE TEMP VIEW v AS SELECT ...?,persists permanently,exists only within session,stored in metastore,stored in Unity Catalog,B,exists only within session,Temp views are session-scoped and not persisted in the metastore.
38,What does CREATE TABLE AS SELECT (CTAS) do?,Creates view only,Creates a new table using result of query,Deletes old table,Creates streaming table,B,Creates a new table using result of query,CTAS materializes the query result into a new table.
39,"In SQL, INSERT INTO table will:",overwrite table,append records,delete duplicates,change schema automatically,B,append records,INSERT INTO appends new rows to an existing table (unless INSERT OVERWRITE is used).
40,Which statement is true?,Spark always uses Sort Merge Join,Join strategy depends on table sizes and config,Broadcast join cannot be forced,ZORDER decides join,B,Join strategy depends on table sizes and config,"Spark chooses join strategies based on statistics, hints, and configuration (e.g., broadcast threshold)."
41,Best way to avoid skewed join?,Use ZORDER,Salting technique / skew hints,Use VACUUM,Use TEMP VIEW,B,Salting technique / skew hints,"Skew mitigation often uses salting, skew join hints, AQE skew handling, or pre-aggregation."
42,Column pruning means:,skipping rows,scanning only required columns,increasing partitions,sorting data,B,scanning only required columns,Column pruning reduces I/O by reading only needed columns from columnar formats like Parquet/Delta.
43,Predicate pushdown means:,sending filters early to reduce scan,caching after filter,using ZORDER,merging data,A,sending filters early to reduce scan,Filters are pushed down to the file scan so fewer rows are read from storage.
44,"When reading JSON, schema inference is:",always fixed,expensive for huge files,required by Delta,impossible in Spark,B,expensive for huge files,Inferring schema on large JSON can be slow; prefer explicitly defining schema in production.
45,Best practice for production ingestion?,Always infer schema,Define explicit schema,Never validate schema,Use CSV only,B,Define explicit schema,"An explicit schema improves reliability, performance, and governance for pipelines."
46,"In Structured Streaming, what is checkpoint used for?",Reduce shuffle,Maintain state & track progress,Speed up joins,Remove duplicates permanently,B,Maintain state & track progress,Checkpointing stores offsets and state so streaming can recover and achieve exactly-once for supported sinks.
47,Which output mode writes only new rows?,complete,append,update,overwrite,B,append,Append mode outputs only newly arrived rows (or finalized results for certain aggregations with watermark).
48,Which output mode writes entire aggregated result each batch?,append,complete,update,merge,B,complete,Complete mode outputs the full result table every micro-batch (common for aggregations).
49,What is watermark used for?,Partitioning,Handling late arriving data and bounding state,Removing schema columns,Optimizing join strategy,B,Handling late arriving data and bounding state,Watermarks let Spark drop old state and handle late data by specifying an event-time lateness threshold.
50,Stateful operations include:,select,map,aggregation with groupBy,drop,C,aggregation with groupBy,"Aggregations maintain state across batches, making them stateful operations."
51,Streaming query can write to Delta?,No,Yes (Delta is common sink),Only with Kafka,Only with SQL Warehouse,B,Yes (Delta is common sink),Delta is a supported sink and commonly used with Structured Streaming for reliable writes.
52,"If checkpoint location is deleted, what happens?",Nothing,Query restarts from scratch / potential duplicates,Table automatically repairs,Schema changes stop,B,Query restarts from scratch / potential duplicates,"Without checkpoints, the stream loses progress and may reprocess data, causing duplicates depending on source/sink."
53,What is “exactly-once” in Spark streaming?,Always guaranteed in all sinks,"Achieved for supported sinks (e.g., Delta) using checkpointing",Only possible with Kafka,Not possible,B,"Achieved for supported sinks (e.g., Delta) using checkpointing",Exactly-once semantics depend on source/sink support; Delta + checkpointing commonly provides it.
54,Auto Loader is best described as:,A database join engine,File ingestion utility for cloud storage with incremental discovery,A visualization tool,A SQL-only tool,B,File ingestion utility for cloud storage with incremental discovery,Auto Loader incrementally processes new files from cloud storage using efficient discovery mechanisms.
55,Auto Loader uses which mechanism (commonly)?,Hive metastore,File notification or directory listing,VACUUM,Cluster events,B,File notification or directory listing,Auto Loader can use cloud file notifications (where available) or optimized directory listing.
56,What format does Auto Loader commonly read?,only delta,parquet/json/csv etc.,only xml,only avro,B,parquet/json/csv etc.,"Auto Loader supports multiple file formats (json, csv, parquet, avro, etc.)."
57,What is the use of trigger(availableNow=True)?,Runs query continuously forever,Processes all available data then stops,Runs every hour,Only works with Kafka,B,Processes all available data then stops,Available Now processes all currently available data and then terminates (batch-like streaming).
58,A stream-stream join without watermark may cause:,no data,unbounded state growth,schema loss,vacuum failure,B,unbounded state growth,"Without watermarks, state in stream-stream joins can grow without bound, risking memory issues."
59,Streaming table output becomes:,in-memory only,Delta table / sink storage,local disk only,temporary view only,B,Delta table / sink storage,Streaming writes materialize to an external sink such as a Delta table.
60,What happens in append mode when you use aggregation without watermark?,Works always,Fails because results may change,Automatically converts to complete,Deletes checkpoint,B,Fails because results may change,Append mode for aggregations typically requires watermarks to know when results are final.
61,What is “bronze” streaming ingestion usually?,business aggregated data,"raw ingestion, minimal transformations",gold only,only ML tables,B,"raw ingestion, minimal transformations",Bronze is the raw landing layer; keep transformations minimal to preserve original data.
62,Which transformation is NOT allowed in streaming?,select,filter,join with static,collect(),D,collect(),collect() is an action that pulls all data to the driver—unsafe/incompatible for unbounded streams.
63,What does readStream return?,a batch DataFrame,streaming DataFrame,a Delta log,a cluster session,B,streaming DataFrame,readStream creates a streaming DataFrame representing an unbounded input.
64,Which sink is common in Databricks?,Delta Lake,Excel,JPEG,PDF,A,Delta Lake,Delta Lake is a primary sink for both batch and streaming workloads in Databricks.
65,Best practice for checkpoint location is:,local notebook workspace,stable cloud storage path (ADLS/S3),driver temp folder,random location each run,B,stable cloud storage path (ADLS/S3),"Checkpoint paths should be durable and stable across restarts, typically in cloud object storage."
66,What is Databricks Workflows?,Only notebooks,Tool for scheduling and orchestrating tasks/jobs,SQL only,Unity Catalog admin tool,B,Tool for scheduling and orchestrating tasks/jobs,"Workflows orchestrate tasks (notebooks, dbt, jars, pipelines) with schedules, dependencies, and alerts."
67,Job cluster vs All-purpose cluster:,Job cluster is ephemeral and cost-efficient,All-purpose is cheaper always,Job cluster cannot run notebooks,All-purpose auto stops less,A,Job cluster is ephemeral and cost-efficient,"Job clusters are created for a job run and terminated after, typically reducing costs and increasing isolation."
68,DLT stands for:,Delta Load Transactions,Delta Live Tables,Data Lake Transfer,Delta Log Tool,B,Delta Live Tables,"DLT is Delta Live Tables, the declarative pipeline framework in Databricks."
69,DLT is primarily used for:,managing permissions,declarative ETL pipelines with quality expectations,ML feature store only,dashboards,B,declarative ETL pipelines with quality expectations,"DLT helps build reliable ETL with lineage, monitoring, and data quality expectations."
70,What is a DLT expectation?,job schedule,"data quality rule (drop, fail, warn)",schema definition only,vacuum config,B,"data quality rule (drop, fail, warn)","Expectations define constraints with actions like fail pipeline, drop rows, or record metrics."
71,"In DLT, LIVE.table refers to:",view only,pipeline-managed table,cluster configuration,storage credential,B,pipeline-managed table,LIVE tables are managed by the DLT pipeline (as tables or views depending on definition).
72,"If DLT expectation is FAIL, the pipeline:",continues anyway,stops when rule violated,silently drops invalid rows,writes bad rows to gold,B,stops when rule violated,FAIL enforces strict data quality by failing the pipeline when violations occur.
73,What is a task dependency in Workflows?,A table partition,Task runs after previous task succeeds,A cluster node,SQL warehouse size,B,Task runs after previous task succeeds,"Dependencies control task order (e.g., run Task B only after Task A succeeds)."
74,Databricks recommends for production ETL:,notebooks only,jobs + repos + CI/CD,local scripts only,manual execution,B,jobs + repos + CI/CD,"Production patterns typically use version control (Repos), automated deployments, and Jobs/Workflows."
75,What is the purpose of job parameters?,to rename clusters,to run same job with different inputs/config,to change schema of table,to optimize delta automatically,B,to run same job with different inputs/config,"Parameters let you reuse a job for different environments, dates, paths, or run configurations."
76,What does “task value” in workflow help with?,passing values between tasks,deleting tables,adding permissions,merging schemas,A,passing values between tasks,Task values allow downstream tasks to reference outputs/values produced by upstream tasks.
77,What is the best method to alert on job failures?,vacuum,email/webhook notification,zorder,describe history,B,email/webhook notification,Use notifications (email/webhooks/incident tools) to alert on job success/failure states.
78,DLT pipeline supports:,only batch,batch and streaming,only streaming,only SQL warehouse,B,batch and streaming,DLT supports both batch and streaming pipelines for incremental processing.
79,Where does DLT store pipeline metadata?,_dlt internal storage + event log,notebook output only,SQL dashboard,driver logs only,A,_dlt internal storage + event log,"DLT maintains pipeline state and event logs to support monitoring, lineage, and debugging."
80,DLT “continuous” mode means:,run once,continuously process new data,only CTAS,only for gold,B,continuously process new data,Continuous mode keeps the pipeline running to process new data as it arrives.
81,Best practice for small files problem:,create more small files,OPTIMIZE / Auto Optimize,disable Delta log,increase schema inference,B,OPTIMIZE / Auto Optimize,Use compaction (OPTIMIZE/Auto Optimize) and sensible partitioning to reduce small-file overhead.
82,"If queries are slow due to scanning too much data, best solution:",add watermark,partition + ZORDER + correct filtering,delete checkpoint,use only Python UDFs,B,partition + ZORDER + correct filtering,Partition pruning + data skipping (ZORDER) and selective filters reduce I/O and improve performance.
83,UDFs compared to built-in functions:,always faster,can be slower; prefer built-in expressions,required for SQL,required for joins,B,can be slower; prefer built-in expressions,Built-in functions are optimized and can leverage catalyst/codegen; UDFs may block optimizations.
84,Best way to inspect query plan?,df.help(),.explain(),vacuum(),show tables,B,.explain(),"explain shows the physical plan, helping diagnose shuffles, joins, scans, and optimizations."
85,What is Data Skipping in Delta?,skipping schema inference,reading min/max stats to avoid scanning files,removing duplicates,removing partitions,B,reading min/max stats to avoid scanning files,Delta stores statistics (min/max) that allow skipping files that cannot match the filter predicate.
86,Which improves data skipping most?,random data distribution,ZORDER on filter columns,dropping partitions,running vacuum daily,B,ZORDER on filter columns,"ZORDER clusters data, improving min/max locality so more files can be skipped for common filters."
87,When should you partition a Delta table?,always partition by many columns,when common filters align with partition column and cardinality low/moderate,only for joins,never partition,B,when common filters align with partition column and cardinality low/moderate,Partition when it enables pruning and avoids too many small partitions; choose columns used in filters.
88,Too many partitions can cause:,better performance always,overhead and small files,automatic caching,better skew handling always,B,overhead and small files,"Excessive partitions increase metadata overhead and often create many small files, harming performance."
89,What does spark.sql.shuffle.partitions control?,streaming watermark delay,number of shuffle partitions for wide operations,delta log retention,cluster size,B,number of shuffle partitions for wide operations,"It sets the default number of partitions produced after shuffles (joins, aggregations)."
90,Adaptive Query Execution (AQE) helps by:,disabling joins,dynamically optimizing shuffle + join strategies at runtime,deleting data files,managing permissions,B,dynamically optimizing shuffle + join strategies at runtime,"AQE can coalesce shuffle partitions, switch join strategies, and mitigate skew based on runtime stats."
91,What is “medallion architecture”?,only Bronze tables,Bronze → Silver → Gold layered ETL design,only dashboarding,Unity Catalog feature,B,Bronze → Silver → Gold layered ETL design,"Medallion architecture organizes data into layers: raw (bronze), refined (silver), curated (gold)."
92,Bronze layer generally stores:,aggregated KPIs,"raw ingested data, minimal changes",dimension model,only gold tables,B,"raw ingested data, minimal changes",Bronze is the landing/raw layer to preserve source fidelity and support reprocessing.
93,Silver layer generally stores:,cleansed + conformed data,raw JSON only,only aggregates,no transformations,A,cleansed + conformed data,"Silver applies cleaning, deduplication, standardization, and conformance across sources."
94,Gold layer generally stores:,raw landing tables,curated business-level datasets for analytics,checkpoints,schema logs only,B,curated business-level datasets for analytics,"Gold contains business-ready tables (aggregates, dimensional models) optimized for reporting/BI."
95,"When writing to Delta in parallel, best approach:",single partition only,"avoid unnecessary repartition, use correct file sizing",write using collect,use local temp files,B,"avoid unnecessary repartition, use correct file sizing",Aim for appropriate partitioning and file sizes; avoid needless repartition shuffles and tiny output files.
96,What is Unity Catalog mainly for?,compute scaling,centralized governance for data + AI assets,ZORDER automation,Spark caching,B,centralized governance for data + AI assets,"Unity Catalog provides centralized permissions, lineage, and governance across workspaces."
97,Least privilege means:,give admin to all,grant only needed permissions to users/groups,allow all by default,use only personal tokens,B,grant only needed permissions to users/groups,Security best practice: grant minimal permissions required to perform tasks.
98,What is a common secure authentication for automation?,personal access token for everyone,service principal (SPN),notebook cell output,driver logs,B,service principal (SPN),Use service principals / managed identities for non-human automation rather than personal tokens.
99,What happens if you VACUUM 0 HOURS without config change?,always allowed,blocked by default safety retention check,runs OPTIMIZE,deletes checkpoint only,B,blocked by default safety retention check,Delta enforces a minimum retention by default to prevent accidental data loss; 0 hours is blocked unless safety checks disabled.
100,Best method to implement incremental upsert into Delta Gold table:,overwrite table daily,MERGE INTO using business key + watermark,CTAS always,VACUUM,B,MERGE INTO using business key + watermark,MERGE INTO is the standard upsert pattern using keys and an incremental filter/watermark to limit processed data.
